,date,frequency
0,2019-02-25 03:42,8
0,2019-02-25 03:55,87
0,2019-02-25 04:10,51

0,2019-02-25 08:10,0
0,2019-02-25 08:25,0
0,2019-02-25 08:40,0
0,2019-02-25 08:55,0
0,2019-02-25 10:19,4
0,2019-02-25 10:19,0
0,2019-02-25 10:19,0
0,2019-02-25 10:19,0
0,2019-02-25 10:20,0
0,2019-02-25 10:20,0
0,2019-02-25 10:20,0
0,2019-02-25 10:20,0
0,2019-02-25 10:20,0
0,2019-02-25 10:21,0
0,2019-02-25 10:21,0
0,2019-02-25 10:21,0
0,2019-02-25 10:21,0
0,2019-02-25 10:21,0
0,2019-02-25 10:22,0
0,2019-02-25 10:22,0
0,2019-02-25 10:22,0
0,2019-02-25 10:22,0
0,2019-02-25 10:22,0
0,2019-02-25 10:23,0
0,2019-02-25 10:23,0
0,2019-02-25 10:23,0
0,2019-02-25 10:23,0
0,2019-02-25 10:23,0
0,2019-02-25 10:24,0
0,2019-02-25 10:24,0
0,2019-02-25 10:24,0
0,2019-02-25 10:24,0
0,2019-02-25 10:24,0
0,2019-02-25 10:25,0
0,2019-02-25 10:25,0
0,2019-02-25 10:25,0
0,2019-02-25 10:25,0
0,2019-02-25 10:25,0
0,2019-02-25 10:26,0
0,2019-02-25 10:26,0
0,2019-02-25 10:26,0
0,2019-02-25 10:26,0
0,2019-02-25 10:26,0
0,2019-02-25 10:27,0
0,2019-02-25 10:27,0
0,2019-02-25 10:27,0
0,2019-02-25 10:27,0
0,2019-02-25 10:27,0
0,2019-02-25 10:28,0
0,2019-02-25 10:28,0
0,2019-02-25 10:28,0
0,2019-02-25 10:28,0
0,2019-02-25 10:28,0
0,2019-02-25 10:29,0
0,2019-02-25 10:29,0
0,2019-02-25 10:29,0
0,2019-02-25 10:29,0
0,2019-02-25 10:29,0
0,2019-02-25 10:29,0
0,2019-02-25 10:30,0
0,2019-02-25 10:30,0
0,2019-02-25 10:30,0
0,2019-02-25 10:30,0
0,2019-02-25 10:30,0
0,2019-02-25 10:31,0
0,2019-02-25 10:31,0
0,2019-02-25 10:31,0
0,2019-02-25 10:31,0
0,2019-02-25 10:32,0
0,2019-02-25 10:32,0
0,2019-02-25 10:32,0
0,2019-02-25 10:32,0
0,2019-02-25 10:32,0
0,2019-02-25 10:32,0
0,2019-02-25 10:33,0
0,2019-02-25 10:33,0
0,2019-02-25 10:33,0
0,2019-02-25 10:33,0
0,2019-02-25 10:33,0
0,2019-02-25 10:34,0
0,2019-02-25 10:34,0
0,2019-02-25 10:34,0
0,2019-02-25 10:34,0
0,2019-02-25 10:34,0
0,2019-02-25 10:35,0
0,2019-02-25 10:35,0
0,2019-02-25 10:35,0
0,2019-02-25 10:35,0
0,2019-02-25 10:35,0
0,2019-02-25 10:35,0
0,2019-02-25 10:36,0
0,2019-02-25 10:39,0
0,2019-02-25 10:40,0
0,2019-02-25 10:40,0
0,2019-02-25 10:40,0
0,2019-02-25 10:40,0
0,2019-02-25 10:40,0
0,2019-02-25 10:41,0
0,2019-02-25 10:41,0
0,2019-02-25 10:41,0
0,2019-02-25 10:41,0
0,2019-02-25 10:41,0
0,2019-02-25 10:42,0
0,2019-02-25 10:42,0
0,2019-02-25 10:42,0
