,Source,Destination
0,51712239,105427696
1,103086579,2334763741
2,1020237020000542720,1097224800882298880
3,3150940290,1045631042651127808
4,811212449525465088,1034855083253493760
5,854721896818126849,1945502046
6,890067882385735682,39279658
7,381036687,841799600444973057
8,795614336672796672,1071525334397407233
9,74968418,91795840
10,381036687,2543357244
11,192547775,2884557904
12,381036687,942589780717486083
13,45075214,885519775656497152
14,51712239,1370122885
15,2647091335,351984191
16,381036687,82633904
17,192547775,192547775
18,51712239,582744465
19,381036687,54929952
20,381036687,278086623
21,381036687,82633904
22,1077630953336569856,1470386125
23,74968418,72068074
24,740684335599263744,1083401230620200962
25,381036687,728745853486280705
26,74968418,80866091
27,24139516,770672821
28,24139516,1030358135209377795
29,1016055677666684929,919536225194729472
30,74968418,2241234048
31,1053204869329416192,2991447895
32,51712239,235470600
33,1063728087551156224,953332363966087168
34,24139516,2365572679
35,103739847,275028944
36,74968418,3101666635
37,1183781550,3134838654
38,381036687,538832257
39,849455943893090304,57588028
40,74968418,80651142
41,381036687,4225845373
42,74968418,303859364
43,4614223707,276176449
44,715782048988979200,718081533064712196
45,74968418,105427696
46,381036687,800747329057800192
47,381036687,529539123
48,103739847,1531877155
49,45075214,1067398303095103489
50,74968418,113630860
51,849455943893090304,266525276
52,381036687,2318761236
53,45075214,965640068957462537
54,1032210646945779712,826032599088762880
55,74968418,114157463
56,955319993545076742,1096993436383744000
57,1066009568487120898,402208366
58,45075214,1083401230620200962
59,977821928936394753,1080496414034137089
60,3312839701,933235899936129025
61,381036687,80651142
62,45075214,727930792383533057
63,381036687,2318761236
64,381036687,68519286
65,381036687,14418195
66,203807735,922482277010960384
67,381036687,1015641964346105857
68,43112080,43112080
69,74968418,123426001
70,381036687,54839143
71,74968418,60664244
72,399988209,3959208074
73,1092309401828962304,825934409064919040
74,2647091335,815060030378700800
75,260156141,2475549384
76,866005597329604608,52514519
77,890656879,1077947116935352322
78,1017739752446013441,1016711222614548480
79,45075214,885519775656497152
80,74968418,884730015220367360
81,381036687,14418195
82,97806604,2911019156
83,381036687,828692509949886469
84,1020237020000542720,2151283436
85,2647091335,475954028
86,2647091335,1655297264
87,2647091335,475954028
88,40276045,130933286
89,1228093296,1098955404086820865
90,399988209,707318517956263936
91,103739847,993163432236118020
92,1696190059,1595891612
93,381036687,347283003
94,45075214,422089017
95,74968418,3312474896
96,606435540,952039998
97,854721896818126849,328484250
98,381036687,741590381230358528
99,381036687,1016898428024967168
100,82820765,371115139
101,716712275583877120,1005770840
102,381036687,2933092680
103,2373182250,2933092680
104,381036687,1596026516
